account_id,item_id,quality,type,name,strength
1,1,common,sword,"Sword of Solanaceae",0
1,2,rare,shield,"Shield of Rosaceae",1
1,2,rare,shield,"Shield of Rosaceae",1
1,2,common,shield,"Shield of Rosaceae",0
1,3,common,shield,"Shield of Fagaceae",0
1,3,epic,shield,"Shield of Fagaceae",2
2,3,common,shield,"Shield of Fagaceae",0
2,3,epic,shield,"Shield of Fagaceae",2
1,5,common,shield,"Shield of Lauraceae",0
2,5,rare,shield,"Shield of Lauraceae",1
1,6,common,sword,"Sword of Loasaceae",0
2,6,common,sword,"Sword of Loasaceae",0
1,7,rare,armor,"Armor of Myrtaceae",1
1,8,common,shield,"Shield of Rosaceae",0
2,8,epic,shield,"Shield of Rosaceae",2
1,10,epic,shield,"Shield of Rosaceae",2
